year,state,party
2018,PUERTO RICO,New Progressive Party
2019,PUERTO RICO,New Progressive Party
2022,PUERTO RICO,New Progressive Party
2023,PUERTO RICO,New Progressive Party
2017,RHODE ISLAND,Democrat
2018,RHODE ISLAND,Democrat
2019,RHODE ISLAND,Democrat
2022,RHODE ISLAND,Democrat
2023,RHODE ISLAND,Democrat
2017,SOUTH CAROLINA,Republican
2018,SOUTH CAROLINA,Republican
2019,SOUTH CAROLINA,Republican
2022,SOUTH CAROLINA,Republican
2023,SOUTH CAROLINA,Republican
2017,SOUTH DAKOTA,Republican
2018,SOUTH DAKOTA,Republican
2019,SOUTH DAKOTA,Republican
2022,SOUTH DAKOTA,Republican
2023,SOUTH DAKOTA,Republican
2017,TENNESSEE,Republican
2018,TENNESSEE,Republican
2019,TENNESSEE,Republican
2022,TENNESSEE,Republican
2023,TENNESSEE,Republican
2017,TEXAS,Republican
2018,TEXAS,Republican
2019,TEXAS,Republican
2022,TEXAS,Republican
2023,TEXAS,Republican
2017,UTAH,Republican
2018,UTAH,Republican
2019,UTAH,Republican
2022,UTAH,Republican
2023,UTAH,Republican
2017,VERMONT,Republican
2018,VERMONT,Republican
2019,VERMONT,Republican
2022,VERMONT,Republican
2023,VERMONT,Republican
2017,VIRGIN ISLANDS,Independent
2018,VIRGIN ISLANDS,Independent
2019,VIRGIN ISLANDS,Independent
2022,VIRGIN ISLANDS,Democrat
2023,VIRGIN ISLANDS,Democrat
2017,VIRGINIA,Democrat
2018,VIRGINIA,Democrat
2019,VIRGINIA,Democrat
2022,VIRGINIA,Republican
2023,VIRGINIA,Republican
2017,WASHINGTON,Democrat
2018,WASHINGTON,Democrat
2019,WASHINGTON,Democrat
2022,WASHINGTON,Democrat
2023,WASHINGTON,Democrat
2017,WEST VIRGINIA,Democrat
2018,WEST VIRGINIA,Democrat
2019,WEST VIRGINIA,Democrat
2022,WEST VIRGINIA,Republican
2023,WEST VIRGINIA,Republican
2017,WISCONSIN,Republican
2018,WISCONSIN,Republican
2019,WISCONSIN,Republican
2022,WISCONSIN,Democrat
2023,WISCONSIN,Democrat
2017,WYOMING,Republican
2018,WYOMING,Republican
2019,WYOMING,Republican
2022,WYOMING,Republican
2023,WYOMING,Republican
