state,snap_rate,year,households,republican_governor
NEW MEXICO,1.0415323248758201,2017,-0.641678778431549,1
NEW YORK,0.5583619628005705,2017,1.8821851135687595,0
NORTH CAROLINA,0.09377507618975296,2017,0.588997671404379,0
NORTH DAKOTA,-1.0212334516762092,2017,-0.8159689187416886,1
OHIO,0.26102635536964697,2017,0.8639562282201396,1
OKLAHOMA,0.26102635536964697,2017,-0.3703743765605159,1
OREGON,0.6698628155871665,2017,-0.31891697127323654,0
PENNSYLVANIA,0.20527592897634908,2017,0.9958359311751551,0
RHODE ISLAND,0.6698628155871665,2017,-0.7802760413747695,0
SOUTH CAROLINA,0.09377507618975296,2017,-0.2025180046193533,1
SOUTH DAKOTA,-0.5380630896009588,2017,-0.8051755705459025,1
TENNESSEE,0.3167767817629452,2017,0.06141013181802809,1
TEXAS,0.03802464979645473,2017,2.777785902749201,1
UTAH,-0.9283160743540456,2017,-0.5614669112841929,1
VERMONT,-0.05489272752570877,2017,-0.8390108676677789,1
VIRGINIA,-0.6867308933164206,2017,0.26690808357814294,0
WASHINGTON,0.09377507618975296,2017,0.15860277668243625,0
WEST VIRGINIA,0.9300314720892244,2017,-0.6619098389386178,0
WISCONSIN,-0.22214400670560314,2017,-0.03062406946422001,1
WYOMING,-1.0212334516762092,2017,-0.8509158295666367,1
PUERTO RICO,4.851144795084524,2017,-0.4781221391049772,0
ALABAMA,0.27960983083408,2018,-0.22179112361988482,1
ALASKA,-0.1663935803123049,2018,-0.839813206422549,0
ARIZONA,-0.2593109576344684,2018,0.07131117738519353,1
ARKANSAS,-0.0734762029901414,2018,-0.4916198090709316,1
CALIFORNIA,-0.6123969914586898,2018,4.109192546858201,0
COLORADO,-0.8539821724963148,2018,-0.09762823604159479,0
CONNECTICUT,-0.110643153919007,2018,-0.40600200116056495,0
DELAWARE,-0.09205967845457404,2018,-0.7961363248346788,0
DISTRICT OF COLUMBIA,0.4096941590851087,2018,-0.8271005002142691,0
FLORIDA,0.37252720815624346,2018,2.0771812309732476,1
GEORGIA,0.019441174332022096,2018,0.5302867839962568,1
HAWAII,-0.33364485949219924,2018,-0.7622983249354764,0
IDAHO,-0.5380630896009588,2018,-0.6908828396510525,1
ILLINOIS,0.09377507618975296,2018,0.9402795710175006,1
INDIANA,-0.5380630896009588,2018,0.06546970336165316,1
IOWA,-0.4079787613499301,2018,-0.44855838849129226,1
KANSAS,-0.8353986970318822,2018,-0.5004768103681748,1
KENTUCKY,0.26102635536964697,2018,-0.26907852960422046,1
LOUISIANA,0.5955289137294357,2018,-0.2673383271173346,0
MAINE,0.20527592897634908,2018,-0.71789632680215,1
MARYLAND,-0.4451457122787954,2018,-0.08250117745911974,1
MASSACHUSETTS,-0.05489272752570877,2018,0.07517074340669591,1
MICHIGAN,0.14952550258305086,2018,0.5899231795830044,1
MINNESOTA,-0.8353986970318822,2018,-0.0907960010725587,0
MISSISSIPPI,0.5583619628005705,2018,-0.5100438698800582,1
MISSOURI,-0.2035605312411705,2018,0.002007333414454586,1
MONTANA,-0.5380630896009588,2018,-0.7715217456159136,0
NEBRASKA,-0.6309804669231224,2018,-0.6425340143996989,1
NEVADA,-0.110643153919007,2018,-0.5018660379137296,1
NEW HAMPSHIRE,-0.9468995498184783,2018,-0.7329913381677599,1
NEW JERSEY,-0.668147417851988,2018,0.3165955558279506,0
NEW MEXICO,1.0229488494113879,2018,-0.6314900801346897,1
NEW YORK,0.5211950118717048,2018,1.9063877123008357,0
NORTH CAROLINA,-0.03630925206127614,2018,0.610771631653537,0
NORTH DAKOTA,-0.8911491234251803,2018,-0.8147916661607001,1
OHIO,0.09377507618975296,2018,0.8710046853752543,1
OKLAHOMA,0.13094202711861821,2018,-0.36460356085849766,1
OREGON,0.5397784873361374,2018,-0.3048876263961568,0
PENNSYLVANIA,0.2981933062985126,2018,1.0198443160508073,0
RHODE ISLAND,0.6698628155871665,2018,-0.7811158329010568,0
SOUTH CAROLINA,-0.0734762029901414,2018,-0.19367953665234536,1
SOUTH DAKOTA,-0.6867308933164206,2018,-0.8047164845115321,1
TENNESSEE,0.22385940444078173,2018,0.06700295032757812,1
TEXAS,0.019441174332022096,2018,2.8365554790364014,1
UTAH,-0.9840665007473437,2018,-0.552415310019479,1
VERMONT,-0.2593109576344684,2018,-0.8371791568628562,1
VIRGINIA,-0.7238978442452859,2018,0.2880067356068521,0
WASHINGTON,-0.12922662938343962,2018,0.17991533423094452,0
WEST VIRGINIA,0.8928645211603592,2018,-0.6544212151904146,0
WISCONSIN,-0.33364485949219924,2018,-0.022258201418212383,1
WYOMING,-1.2628186327138342,2018,-0.8491953187431258,1
PUERTO RICO,5.575900338197399,2018,-0.4826272827963427,0
ALABAMA,0.22385940444078173,2019,-0.20542310413373743,1
ALASKA,-0.27789443309890105,2019,-0.8407213396040789,1
ARIZONA,-0.4451457122787954,2019,0.09298860987270939,1
ARKANSAS,-0.14781010484787227,2019,-0.4888011984309789,1
CALIFORNIA,-0.6309804669231224,2019,4.1423019552125275,0
COLORADO,-0.9097325988896129,2019,-0.07510020091848771,0
CONNECTICUT,-0.12922662938343962,2019,-0.40635915387864113,0
DELAWARE,-0.3150613840277666,2019,-0.7928281253876768,0
DISTRICT OF COLUMBIA,-0.09205967845457404,2019,-0.825519761589616,0
FLORIDA,0.0008576988675894626,2019,2.1144309080799326,1
GEORGIA,-0.110643153919007,2019,0.5494772752328226,1
HAWAII,-0.2593109576344684,2019,-0.7584410755802535,0
IDAHO,-0.649563942387555,2019,-0.6848637545460904,1
ILLINOIS,0.0008576988675894626,2019,0.9407205098326823,1
INDIANA,-0.6123969914586898,2019,0.06492760345227046,1
IOWA,-0.4265622368143627,2019,-0.4410879119622778,1
KANSAS,-0.8911491234251803,2019,-0.4985767579080094,1
KENTUCKY,0.019441174332022096,2019,-0.2628934167492338,1
LOUISIANA,0.48402806094283957,2019,-0.265849482921765,0
MAINE,0.09377507618975296,2019,-0.7166179131269604,1
MARYLAND,-0.37081181042106454,2019,-0.07831882260268579,1
MASSACHUSETTS,-0.110643153919007,2019,0.08535866948146202,1
MICHIGAN,-0.0177257765968435,2019,0.5947163621151104,1
MINNESOTA,-0.8168152215674493,2019,-0.07994010288722846,0
MISSISSIPPI,0.3167767817629452,2019,-0.5132875887822832,1
MISSOURI,-0.296477908563334,2019,0.011092912451266578,1
MONTANA,-0.5752300405298245,2019,-0.7691162737957895,0
NEBRASKA,-0.7796482706385841,2019,-0.640235109228428,1
NEVADA,-0.24072748217003576,2019,-0.4965581693565474,1
NEW HAMPSHIRE,-1.0769838780695071,2019,-0.7290591832695025,1
NEW JERSEY,-0.8168152215674493,2019,0.33076467290388833,0
NEW MEXICO,0.8556975702314933,2019,-0.6317499328690306,1
NEW YORK,0.4282776345495414,2019,1.9371982154838916,0
NORTH CAROLINA,-0.03630925206127614,2019,0.6242415016241385,0
NORTH DAKOTA,-0.9097325988896129,2019,-0.8131838997627874,1
OHIO,0.03802464979645473,2019,0.8883383685888705,1
OKLAHOMA,0.03802464979645473,2019,-0.36080384204921345,1
OREGON,0.2981933062985126,2019,-0.3012651325572477,0
PENNSYLVANIA,0.3167767817629452,2019,1.0385004295989217,0
RHODE ISLAND,0.5026115364072722,2019,-0.7808837801620688,0
SOUTH CAROLINA,-0.3522283349566319,2019,-0.17517555085657902,1
SOUTH DAKOTA,-0.5752300405298245,2019,-0.8014924572726821,1
TENNESSEE,-0.0734762029901414,2019,0.08692512199739191,1
TEXAS,-0.18497705577673754,2019,2.9172692905442967,1
UTAH,-1.1699012553916708,2019,-0.5427764338529338,1
VERMONT,-0.33364485949219924,2019,-0.8366409180639391,1
VIRGINIA,-0.7424813197097186,2019,0.29430922621999567,0
WASHINGTON,-0.22214400670560314,2019,0.19416360407142882,0
WEST VIRGINIA,0.9486149475536567,2019,-0.6569417481024162,0
WISCONSIN,-0.4451457122787954,2019,-0.016596655142373098,1
WYOMING,-1.3185690591071322,2019,-0.8480848633731938,1
PUERTO RICO,5.836068994699458,2019,-0.48596907390439625,0
ALABAMA,0.4282776345495414,2022,-0.15952531180600316,1
ALASKA,-0.1663935803123049,2022,-0.8320821049371006,1
ARIZONA,-0.27789443309890105,2022,0.1624638871481249,1
ARKANSAS,-0.27789443309890105,2022,-0.4685072018233193,1
CALIFORNIA,0.16810897804748348,2022,4.293932782643727,0
COLORADO,-0.6123969914586898,2022,-0.017383935566327016,0
CONNECTICUT,0.03802464979645473,2022,-0.38455584918994384,0
DELAWARE,-0.1663935803123049,2022,-0.7827525576274622,0
DISTRICT OF COLUMBIA,0.33536025722737783,2022,-0.8118514305410782,0
FLORIDA,0.09377507618975296,2022,2.4698700653314614,1
GEORGIA,0.26102635536964697,2022,0.6420485569808481,1
HAWAII,-0.0177257765968435,2022,-0.747039988597168,0
IDAHO,-0.8353986970318822,2022,-0.6611982362797914,1
ILLINOIS,0.5211950118717048,2022,1.0142182919912521,0
INDIANA,-0.482312663207661,2022,0.1146293618108012,1
IOWA,-0.6123969914586898,2022,-0.42418628700977223,1
KANSAS,-0.8911491234251803,2022,-0.4843041630715913,0
KENTUCKY,0.18669245351191646,2022,-0.23202461079814604,0
LOUISIANA,1.2273670795201472,2022,-0.23657222670463415,0
MAINE,-0.09205967845457404,2022,-0.7043704707297961,0
MARYLAND,0.03802464979645473,2022,-0.020704490566819264,1
MASSACHUSETTS,0.6698628155871665,2022,0.14215405998755598,1
MICHIGAN,0.33536025722737783,2022,0.6410164821533695,0
MINNESOTA,-0.7610647951741513,2022,-0.041474948205944856,0
MISSISSIPPI,0.3539437326918105,2022,-0.4947114002208085,1
MISSOURI,-0.33364485949219924,2022,0.035609033353156745,1
MONTANA,-0.7982317461030167,2022,-0.7589148338343935,1
NEBRASKA,-0.6123969914586898,2022,-0.6279903696085894,1
NEVADA,0.2981933062985126,2022,-0.4753996701156201,0
NEW HAMPSHIRE,-0.9840665007473437,2022,-0.7229493620685967,1
NEW JERSEY,-0.4079787613499301,2022,0.4198458969019777,0
NEW MEXICO,1.4132018341644743,2022,-0.6105918197391498,0
NEW YORK,0.8371140947670609,2022,2.0636480387910088,0
NORTH CAROLINA,0.2981933062985126,2022,0.721895935300243,0
NORTH DAKOTA,-1.0212334516762092,2022,-0.810109683610006,1
OHIO,0.14952550258305086,2022,0.9454310646008224,1
OKLAHOMA,0.5769454382650031,2022,-0.3306759831964914,1
OREGON,0.7999471438381957,2022,-0.2715392153040038,0
PENNSYLVANIA,0.48402806094283957,2022,1.1059988183159046,0
RHODE ISLAND,0.37252720815624346,2022,-0.7656269882679467,0
SOUTH CAROLINA,-0.1663935803123049,2022,-0.11333407508287656,1
SOUTH DAKOTA,-0.7424813197097186,2022,-0.7958934609863869,1
TENNESSEE,-0.12922662938343962,2022,0.1610379790531461,1
TEXAS,0.03802464979645473,2022,3.3429883804922906,1
UTAH,-1.2256516817849687,2022,-0.5019239545707149,1
VERMONT,-0.24072748217003576,2022,-0.8311106495439332,1
VIRGINIA,-0.37081181042106454,2022,0.3671915473703349,1
WASHINGTON,-0.09205967845457404,2022,0.251105716775219,0
WEST VIRGINIA,1.190200128591282,2022,-0.6537887652961348,1
WISCONSIN,-0.0177257765968435,2022,0.02375117700198029,0
WYOMING,-1.151317779927238,2022,-0.8441492334755173,1
PUERTO RICO,6.7838262433855245,2022,-0.4402809398749489,0
ALABAMA,0.37252720815624346,2023,-0.14597397240457566,1
ALASKA,-0.37081181042106454,2023,-0.8312025439730166,1
ARIZONA,-0.3150613840277666,2023,0.18433205849264578,0
ARKANSAS,-0.649563942387555,2023,-0.4620730473432957,1
CALIFORNIA,0.2981933062985126,2023,4.351552134123199,0
COLORADO,-0.5194796141365262,2023,-0.0005197633853386434,0
CONNECTICUT,0.019441174332022096,2023,-0.38095188868127,0
DELAWARE,-0.05489272752570877,2023,-0.7790018749210922,0
DISTRICT OF COLUMBIA,0.6141123891938683,2023,-0.8088772171493582,0
FLORIDA,0.019441174332022096,2023,2.523928700739475,1
GEORGIA,0.1123585516541856,2023,0.6643159671475211,1
HAWAII,-0.14781010484787227,2023,-0.7473986857594305,0
IDAHO,-0.8911491234251803,2023,-0.6549845512073587,1
ILLINOIS,0.4282776345495414,2023,1.0199821576944323,0
INDIANA,-0.5752300405298245,2023,0.12559182664498444,1
IOWA,-0.5752300405298245,2023,-0.42177386519081,1
KANSAS,-0.9283160743540456,2023,-0.4792669583580539,0
KENTUCKY,0.24244287990521435,2023,-0.2224015651845102,0
LOUISIANA,1.0415323248758201,2023,-0.23000331946935804,0
MAINE,0.14952550258305086,2023,-0.7002209353123204,0
MARYLAND,-0.2593109576344684,2023,-0.017333355019226494,0
MASSACHUSETTS,0.7256132419804645,2023,0.1433927042249489,0
MICHIGAN,0.4096941590851087,2023,0.6479722726573075,0
MINNESOTA,-0.7238978442452859,2023,-0.032887066308160136,0
MISSISSIPPI,0.20527592897634908,2023,-0.4876544486226694,1
MISSOURI,-0.4079787613499301,2023,0.04890631168594193,1
MONTANA,-0.7982317461030167,2023,-0.7555189871798204,1
NEBRASKA,-0.7424813197097186,2023,-0.6238562786329767,1
NEVADA,0.24244287990521435,2023,-0.4652337523705084,1
NEW HAMPSHIRE,-1.0212334516762092,2023,-0.7182106211940571,1
NEW JERSEY,-0.3893952858854975,2023,0.4281391760712304,0
NEW MEXICO,1.5247026869510707,2023,-0.607363159167741,0
NEW YORK,0.8185306193026279,2023,2.07714609486801,0
NORTH CAROLINA,0.14952550258305086,2023,0.7579598653829148,0
NORTH DAKOTA,-0.8725656479607476,2023,-0.8075698451456761,1
OHIO,0.1123585516541856,2023,0.9605291648548048,1
OKLAHOMA,0.6141123891938683,2023,-0.3245271647798822,1
OREGON,0.9300314720892244,2023,-0.2616123002967183,0
PENNSYLVANIA,0.5769454382650031,2023,1.1176377497036765,0
RHODE ISLAND,0.24244287990521435,2023,-0.7666725769820552,0
SOUTH CAROLINA,-0.2035605312411705,2023,-0.09725139166014357,1
SOUTH DAKOTA,-0.7982317461030167,2023,-0.791932347759637,1
TENNESSEE,-0.3522283349566319,2023,0.1774639151962788,1
TEXAS,-0.110643153919007,2023,3.4097612665527706,1
UTAH,-1.2256516817849687,2023,-0.4872783764633113,1
VERMONT,-0.33364485949219924,2023,-0.8301368774844866,1
VIRGINIA,-0.3522283349566319,2023,0.37571031539078376,1
WASHINGTON,0.03802464979645473,2023,0.25933451539969465,0
WEST VIRGINIA,1.208783604055715,2023,-0.6509689963230424,1
WISCONSIN,-0.0734762029901414,2023,0.025457015605721542,0
WYOMING,-1.2070682063205362,2023,-0.8425866420700531,1
PUERTO RICO,6.486490635954603,2023,-0.44484670300062573,0
